time,party,votes,x,y
0,P0,31,0.5504920667536672,0.20222689985033887
1,P0,27,0.5786317936316375,0.21590998525411229
2,P0,27,0.5375908038758903,0.1958756938236974
3,P0,34,0.5425433675207131,0.24517540489685796
4,P0,29,0.5189339767142613,0.21657532068974542
5,P0,35,0.509478247899672,0.17842373549677412
6,P0,30,0.5196659913149515,0.17162732189019328
7,P0,32,0.4944149358541206,0.20834254714572897
8,P0,31,0.4966875002170208,0.22464104079244612
9,P0,33,0.4963968417657287,0.2608769392199442
0,P1,13,0.30293987775239334,0.4890936818969849
1,P1,14,0.39974798612284806,0.5141574037621488
2,P1,20,0.496180960827613,0.5406277907935122
3,P1,15,0.5116832640978126,0.44183670519709434
4,P1,13,0.5840661997610122,0.5108346082433255
5,P1,15,0.5621721176636484,0.41326079429145673
6,P1,13,0.6116327342465708,0.500172516212249
7,P1,16,0.5743605365936059,0.40737820990998547
8,P1,11,0.6176014977616943,0.497545938489893
9,P1,12,0.5720186927937494,0.40853915284264974
0,P2,12,0.22986655861175653,0.7054509234856142
1,P2,14,0.1726782565665184,0.7874844416911783
2,P2,14,0.1154899545212803,0.8695179598967424
3,P2,14,0.17267825656651836,0.7874844416911783
4,P2,15,0.07941513905866095,0.8235675528751599
5,P2,15,0.17267825656651836,0.7874844416911783
6,P2,16,0.07499396228493554,0.7660886792436952
7,P2,15,0.1664809945609833,0.806463460052034
8,P2,16,0.1325476725203638,0.7123968365594922
9,P2,17,0.17692983673140433,0.8020083508863031
0,P3,18,0.5841841431017987,0.537096247204669
1,P3,10,0.6700484836931613,0.5883535882868055
2,P3,33,0.6700484836931613,0.5883535882868055
3,P3,33,0.6352204854458501,0.4946145327225142
4,P3,9,0.6603023794735446,0.5914179344808382
5,P3,25,0.6259986543537209,0.497485754463
6,P3,4,0.661402703655639,0.5910087638939809
7,P3,29,0.6214070214852362,0.4993553656606141
8,P3,4,0.6619517527457437,0.5907672071638528
9,P3,28,0.6170982774442886,0.5013906679973481
0,P4,26,0.657579848988887,0.5809103463371917
1,P4,35,0.657579848988887,0.5809103463371917
2,P4,6,0.657579848988887,0.5809103463371917
3,P4,4,0.657579848988887,0.5809103463371917
4,P4,34,0.657579848988887,0.5809103463371917
5,P4,10,0.657579848988887,0.5809103463371917
6,P4,37,0.657579848988887,0.5809103463371917
7,P4,8,0.657579848988887,0.5809103463371917
8,P4,38,0.657579848988887,0.5809103463371917
9,P4,10,0.657579848988887,0.5809103463371917
