time,party,strategy,votes,x,y
0,P0,sticker,62,0.9727041998640674,0.8723092530211258
1,P0,sticker,62,0.9727041998640674,0.8723092530211258
2,P0,sticker,62,0.9727041998640674,0.8723092530211258
3,P0,sticker,62,0.9727041998640674,0.8723092530211258
4,P0,sticker,63,0.9727041998640674,0.8723092530211258
5,P0,sticker,63,0.9727041998640674,0.8723092530211258
6,P0,sticker,64,0.9727041998640674,0.8723092530211258
7,P0,sticker,65,0.9727041998640674,0.8723092530211258
8,P0,sticker,66,0.9727041998640674,0.8723092530211258
9,P0,sticker,65,0.9727041998640674,0.8723092530211258
10,P0,sticker,65,0.9727041998640674,0.8723092530211258
11,P0,sticker,67,0.9727041998640674,0.8723092530211258
12,P0,sticker,69,0.9727041998640674,0.8723092530211258
13,P0,sticker,67,0.9727041998640674,0.8723092530211258
14,P0,sticker,70,0.9727041998640674,0.8723092530211258
15,P0,sticker,69,0.9727041998640674,0.8723092530211258
16,P0,sticker,69,0.9727041998640674,0.8723092530211258
17,P0,sticker,67,0.9727041998640674,0.8723092530211258
18,P0,sticker,69,0.9727041998640674,0.8723092530211258
19,P0,sticker,67,0.9727041998640674,0.8723092530211258
20,P0,sticker,69,0.9727041998640674,0.8723092530211258
21,P0,sticker,66,0.9727041998640674,0.8723092530211258
22,P0,sticker,69,0.9727041998640674,0.8723092530211258
23,P0,sticker,66,0.9727041998640674,0.8723092530211258
24,P0,sticker,69,0.9727041998640674,0.8723092530211258
25,P0,sticker,66,0.9727041998640674,0.8723092530211258
26,P0,sticker,68,0.9727041998640674,0.8723092530211258
27,P0,sticker,69,0.9727041998640674,0.8723092530211258
28,P0,sticker,68,0.9727041998640674,0.8723092530211258
29,P0,sticker,68,0.9727041998640674,0.8723092530211258
30,P0,sticker,68,0.9727041998640674,0.8723092530211258
31,P0,sticker,69,0.9727041998640674,0.8723092530211258
32,P0,sticker,71,0.9727041998640674,0.8723092530211258
33,P0,sticker,67,0.9727041998640674,0.8723092530211258
34,P0,sticker,66,0.9727041998640674,0.8723092530211258
35,P0,sticker,67,0.9727041998640674,0.8723092530211258
36,P0,sticker,70,0.9727041998640674,0.8723092530211258
37,P0,sticker,67,0.9727041998640674,0.8723092530211258
38,P0,sticker,71,0.9727041998640674,0.8723092530211258
39,P0,sticker,67,0.9727041998640674,0.8723092530211258
